title,body,labels,milestone
"2.1: RED - Write test for extension activation","## Description

Write failing test for extension activation before implementing.

## Acceptance Criteria

- [ ] Test file created: src/test/extension.test.ts
- [ ] Test for activate() function exists
- [ ] Test for deactivate() function exists
- [ ] Test fails (RED) because implementation doesn't exist
- [ ] Test imports VSCode API mocks

## TDD Cycle

🔴 **RED** - This is the first step in TDD

## References

- [Extension Activation](https://code.visualstudio.com/api/references/activation-events)","phase:bootstrap,tdd:red,priority:high","Phase 2: Core Extension Bootstrap"
"2.2: GREEN - Implement basic extension.activate() and extension.deactivate()","## Description

Implement minimum code to make activation tests pass.

## Acceptance Criteria

- [ ] src/extension.ts implements activate() function
- [ ] src/extension.ts implements deactivate() function
- [ ] activate() returns void or Thenable<void>
- [ ] Tests from previous issue now pass (GREEN)
- [ ] Extension activates in Extension Development Host

## TDD Cycle

🟢 **GREEN** - Make the tests pass

## Implementation

```typescript
export function activate(context: vscode.ExtensionContext) {
  console.log('Synapse extension is now active');
}

export function deactivate() {}
```","phase:bootstrap,tdd:green,priority:high","Phase 2: Core Extension Bootstrap"
"2.3: REFACTOR - Clean up activation code, add proper error handling","## Description

Refactor activation code while keeping tests green.

## Acceptance Criteria

- [ ] Error handling added to activate()
- [ ] Logging improved with proper output channel
- [ ] Code is clean and well-documented
- [ ] All tests still pass (GREEN)
- [ ] No new functionality added

## TDD Cycle

♻️ **REFACTOR** - Improve code quality

## Improvements

- Add try-catch blocks
- Create output channel for logging
- Add activation time logging
- Improve error messages","phase:bootstrap,tdd:refactor","Phase 2: Core Extension Bootstrap"
"2.4: RED - Write test for 'Hello Synapse' command registration","## Description

Write failing test for command registration.

## Acceptance Criteria

- [ ] Test verifies command is registered
- [ ] Test verifies command execution
- [ ] Test mocks VSCode commands.registerCommand
- [ ] Test fails (RED)

## TDD Cycle

🔴 **RED**

## Command

- ID: synapse.helloWorld
- Title: Hello Synapse","phase:bootstrap,tdd:red","Phase 2: Core Extension Bootstrap"
"2.5: GREEN - Implement basic command in package.json and extension.ts","## Description

Implement command to make tests pass.

## Acceptance Criteria

- [ ] Command defined in package.json contributes.commands
- [ ] Command registered in extension.ts activate()
- [ ] Command shows information message
- [ ] Tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**

## Implementation

1. Add to package.json:
```json
""contributes"": {
  ""commands"": [{
    ""command"": ""synapse.helloWorld"",
    ""title"": ""Hello Synapse""
  }]
}
```

2. Register in extension.ts","phase:bootstrap,tdd:green","Phase 2: Core Extension Bootstrap"
"2.6: REFACTOR - Extract command registration to commands/ module","## Description

Refactor command registration into separate module.

## Acceptance Criteria

- [ ] src/commands/helloWorld.ts created
- [ ] Command implementation moved to new file
- [ ] Clean imports in extension.ts
- [ ] All tests still pass
- [ ] Better code organization

## TDD Cycle

♻️ **REFACTOR**

## Structure

```typescript
// src/commands/helloWorld.ts
export function registerHelloWorld(context: ExtensionContext) {
  // implementation
}
```","phase:bootstrap,tdd:refactor","Phase 2: Core Extension Bootstrap"
"2.7: Verify extension loads in VSCode Extension Host","## Description

Manual verification that extension loads and works in Extension Development Host.

## Acceptance Criteria

- [ ] Press F5 to launch Extension Development Host
- [ ] Extension activates without errors
- [ ] Command Palette shows 'Hello Synapse' command
- [ ] Running command shows message
- [ ] No console errors

## Testing Steps

1. Open project in VSCode
2. Press F5
3. In new window, open Command Palette (Cmd/Ctrl+Shift+P)
4. Type 'Hello Synapse'
5. Run command
6. Verify information message appears","phase:bootstrap,priority:high","Phase 2: Core Extension Bootstrap"
"3.1: RED - Write tests for detecting Synapse projects","## Description

Write tests for detecting whether workspace contains a Synapse project.

## Acceptance Criteria

- [ ] Test for detecting @synapse dependencies in package.json
- [ ] Test for missing package.json (not a Synapse project)
- [ ] Test for package.json without @synapse deps
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**

## Detection Logic

Should detect package.json with dependencies like:
- @synapse/core
- @synapse/neuron
- @synapse/circuit","phase:detection,tdd:red","Phase 3: Synapse Project Detection"
"3.2: GREEN - Implement SynapseProjectDetector utility class","## Description

Implement class to detect Synapse projects in workspace.

## Acceptance Criteria

- [ ] src/utils/SynapseProjectDetector.ts created
- [ ] Class has isSynapseProject() method
- [ ] Reads package.json files
- [ ] Checks for @synapse dependencies
- [ ] All tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**

## API

```typescript
class SynapseProjectDetector {
  async isSynapseProject(uri: vscode.Uri): Promise<boolean>;
  async getSynapseVersion(): Promise<string | null>;
}
```","phase:detection,tdd:green","Phase 3: Synapse Project Detection"
"3.3: REFACTOR - Add caching and workspace file watching","## Description

Optimize detector with caching and file watching.

## Acceptance Criteria

- [ ] Cache detection results
- [ ] Watch package.json for changes
- [ ] Invalidate cache on file changes
- [ ] All tests still pass
- [ ] Performance improved

## TDD Cycle

♻️ **REFACTOR**

## Improvements

- Use vscode.workspace.createFileSystemWatcher
- Cache results in WeakMap
- Debounce file change events","phase:detection,tdd:refactor","Phase 3: Synapse Project Detection"
"3.4: RED - Write tests for project structure validation","## Description

Write tests for validating Synapse project structure.

## Acceptance Criteria

- [ ] Test for valid project structure
- [ ] Test for missing required directories
- [ ] Test for invalid structure
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**

## Valid Structure

- src/ directory
- neurons/ or circuits/ directories
- tsconfig.json","phase:detection,tdd:red","Phase 3: Synapse Project Detection"
"3.5: GREEN - Implement validation for valid Synapse project structure","## Description

Implement structure validation to make tests pass.

## Acceptance Criteria

- [ ] validateStructure() method implemented
- [ ] Checks for required directories
- [ ] Returns validation results
- [ ] All tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**","phase:detection,tdd:green","Phase 3: Synapse Project Detection"
"3.6: REFACTOR - Add detailed validation error messages","## Description

Improve validation with detailed error messages.

## Acceptance Criteria

- [ ] Detailed error messages for each validation failure
- [ ] Suggestions for fixing issues
- [ ] All tests still pass
- [ ] Better user experience

## TDD Cycle

♻️ **REFACTOR**","phase:detection,tdd:refactor","Phase 3: Synapse Project Detection"
"4.1: RED - Write tests for snippet provider registration","## Description

Write tests for snippet provider.

## Acceptance Criteria

- [ ] Test for snippet file existence
- [ ] Test for valid JSON structure
- [ ] Test for required snippets
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**","phase:snippets,tdd:red","Phase 4: Code Snippets"
"4.2: Create snippets/synapse.code-snippets with NeuralNode snippet","## Description

Create snippet file with NeuralNode base class snippet.

## Acceptance Criteria

- [ ] snippets/ directory created
- [ ] synapse.code-snippets file created
- [ ] NeuralNode snippet defined
- [ ] Snippet works in TypeScript files

## Snippet

- Prefix: neuralnode
- Creates basic NeuralNode class structure
- Includes imports from @synapse/core","phase:snippets,type:enhancement","Phase 4: Code Snippets"
"4.3: Add snippet for CorticalNeuron (stateful microservice)","## Description

Add snippet for creating CorticalNeuron (stateful).

## Acceptance Criteria

- [ ] corticalneuron snippet added
- [ ] Includes state management
- [ ] Includes process() method
- [ ] Documented with JSDoc

## Template

```typescript
class ${1:MyCortical}Neuron extends CorticalNeuron<${2:InputType}, ${3:OutputType}> {
  // State for this neuron
  private state: ${4:any};

  async process(input: ${2}): Promise<${3}> {
    // Implementation
  }
}
```","phase:snippets,type:enhancement","Phase 4: Code Snippets"
"4.4: Add snippet for ReflexNeuron (serverless function)","## Description

Add snippet for creating ReflexNeuron (stateless).

## Acceptance Criteria

- [ ] reflexneuron snippet added
- [ ] Stateless implementation
- [ ] Fast activation pattern
- [ ] Documented

## Template

Stateless, scales automatically","phase:snippets,type:enhancement","Phase 4: Code Snippets"
"4.5: Add snippets for Glial cells (Astrocyte, Oligodendrocyte, Microglia, Ependymal)","## Description

Add snippets for all glial cell types.

## Acceptance Criteria

- [ ] astrocyte snippet (caching)
- [ ] oligodendrocyte snippet (connection pooling)
- [ ] microglia snippet (health monitoring)
- [ ] ependymal snippet (API gateway)
- [ ] All snippets documented

## Glial Cell Types

- **Astrocyte**: LRU cache with TTL
- **Oligodendrocyte**: Resource pooling
- **Microglia**: Error tracking
- **Ependymal**: Request routing","phase:snippets,type:enhancement","Phase 4: Code Snippets"
"4.6: Add snippet for NeuralCircuit creation","## Description

Add snippet for creating NeuralCircuit topology.

## Acceptance Criteria

- [ ] neuralcircuit snippet added
- [ ] Includes neurons array
- [ ] Includes connections
- [ ] Includes activation method

## Template

Complete circuit with multiple neurons","phase:snippets,type:enhancement","Phase 4: Code Snippets"
"4.7: Add snippet for Connection with type safety","## Description

Add snippet for creating type-safe connections between neurons.

## Acceptance Criteria

- [ ] connection snippet added
- [ ] Generic type parameters
- [ ] Weight configuration
- [ ] Hebbian learning option

## Template

```typescript
const connection = new Connection<${1:SourceOutput}, ${2:TargetInput}>({
  source: ${3:sourceNeuron},
  target: ${4:targetNeuron},
  weight: ${5:1.0}
});
```","phase:snippets,type:enhancement","Phase 4: Code Snippets"
"4.8: GREEN - Verify all snippets work in TypeScript files","## Description

Manually test all snippets in TypeScript files.

## Acceptance Criteria

- [ ] All snippets appear in IntelliSense
- [ ] All snippets expand correctly
- [ ] Tab stops work properly
- [ ] No syntax errors in expanded code
- [ ] Integration test added

## TDD Cycle

🟢 **GREEN**

## Testing

Create test TypeScript file and verify each snippet.","phase:snippets,tdd:green","Phase 4: Code Snippets"
"5.1: RED - Write tests for CompletionItemProvider","## Description

Write tests for IntelliSense completion provider.

## Acceptance Criteria

- [ ] Test for Neuron class completion
- [ ] Test for Synapse API methods completion
- [ ] Test for completion trigger characters
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**","phase:intellisense,tdd:red","Phase 5: IntelliSense & Code Completion"
"5.2: GREEN - Implement CompletionItemProvider for Synapse classes","## Description

Implement completion provider for Synapse classes and APIs.

## Acceptance Criteria

- [ ] src/providers/CompletionProvider.ts created
- [ ] Provides completions for NeuralNode, CorticalNeuron, ReflexNeuron
- [ ] Provides completions for glial cells
- [ ] Tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**

## Implementation

Register with vscode.languages.registerCompletionItemProvider","phase:intellisense,tdd:green,priority:high","Phase 5: IntelliSense & Code Completion"
"5.3: REFACTOR - Add documentation and examples to completion items","## Description

Enhance completion items with documentation.

## Acceptance Criteria

- [ ] Documentation added to all completion items
- [ ] Code examples in documentation
- [ ] Markdown formatting in docs
- [ ] Tests still pass

## TDD Cycle

♻️ **REFACTOR**","phase:intellisense,tdd:refactor","Phase 5: IntelliSense & Code Completion"
"5.4: Add IntelliSense for Connection types and circuit patterns","## Description

Add completions for Connection and Circuit patterns.

## Acceptance Criteria

- [ ] Connection type completions
- [ ] Circuit pattern completions
- [ ] Generic type inference
- [ ] Documentation included","phase:intellisense,type:enhancement","Phase 5: IntelliSense & Code Completion"
"5.5: Implement signature help for Neuron constructors and methods","## Description

Add signature help provider for constructors and methods.

## Acceptance Criteria

- [ ] SignatureHelpProvider implemented
- [ ] Shows parameter information
- [ ] Shows overload information
- [ ] Registered in extension

## API

vscode.languages.registerSignatureHelpProvider","phase:intellisense,type:enhancement","Phase 5: IntelliSense & Code Completion"
"5.6: Add import suggestions for @synapse packages","## Description

Suggest imports when using Synapse classes.

## Acceptance Criteria

- [ ] Auto-import suggestions work
- [ ] Suggests correct @synapse packages
- [ ] Updates import statements
- [ ] Works with TypeScript language service","phase:intellisense,type:enhancement","Phase 5: IntelliSense & Code Completion"
"6.1: RED - Write tests for HoverProvider","## Description

Write tests for hover documentation provider.

## Acceptance Criteria

- [ ] Test for hovering over Neuron classes
- [ ] Test for hovering over methods
- [ ] Test for markdown formatting
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**","phase:hover,tdd:red","Phase 6: Hover Provider"
"6.2: GREEN - Implement HoverProvider with biological metaphor documentation","## Description

Implement hover provider with rich documentation.

## Acceptance Criteria

- [ ] src/providers/HoverProvider.ts created
- [ ] Provides hover info for Synapse classes
- [ ] Includes biological metaphor explanations
- [ ] Tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**

## Example

When hovering over CorticalNeuron, show:
- Technical description
- Biological metaphor
- Use cases
- Code examples","phase:hover,tdd:green,priority:high","Phase 6: Hover Provider"
"6.3: REFACTOR - Add code examples and diagrams to hover content","## Description

Enhance hover content with examples and diagrams.

## Acceptance Criteria

- [ ] Code examples in hover content
- [ ] ASCII diagrams where helpful
- [ ] Links to documentation
- [ ] Tests still pass

## TDD Cycle

♻️ **REFACTOR**","phase:hover,tdd:refactor","Phase 6: Hover Provider"
"6.4: Add hover information for Circuit topology and connections","## Description

Add hover info for circuits and connections.

## Acceptance Criteria

- [ ] Hover info for Circuit classes
- [ ] Connection weight information
- [ ] Topology diagrams
- [ ] Performance characteristics","phase:hover,type:enhancement","Phase 6: Hover Provider"
"7.1: RED - Write tests for DefinitionProvider","## Description

Write tests for Go to Definition functionality.

## Acceptance Criteria

- [ ] Test for navigating to neuron definitions
- [ ] Test for navigating to circuit definitions
- [ ] Test for navigating to imports
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**","phase:navigation,tdd:red","Phase 7: Definition & Reference Provider"
"7.2: GREEN - Implement DefinitionProvider for Neurons and Circuits","## Description

Implement Go to Definition for Synapse elements.

## Acceptance Criteria

- [ ] src/providers/DefinitionProvider.ts created
- [ ] Navigate to neuron class definitions
- [ ] Navigate to circuit definitions
- [ ] Tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**","phase:navigation,tdd:green","Phase 7: Definition & Reference Provider"
"7.3: RED - Write tests for ReferenceProvider","## Description

Write tests for Find All References functionality.

## Acceptance Criteria

- [ ] Test for finding neuron references
- [ ] Test for finding circuit references
- [ ] Test for finding connection references
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**","phase:navigation,tdd:red","Phase 7: Definition & Reference Provider"
"7.4: GREEN - Implement ReferenceProvider for finding all uses","## Description

Implement Find All References for Synapse elements.

## Acceptance Criteria

- [ ] src/providers/ReferenceProvider.ts created
- [ ] Finds all references to neurons
- [ ] Finds all references to circuits
- [ ] Tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**","phase:navigation,tdd:green","Phase 7: Definition & Reference Provider"
"7.5: REFACTOR - Optimize symbol lookup with index caching","## Description

Optimize navigation providers with caching.

## Acceptance Criteria

- [ ] Symbol index cache implemented
- [ ] Incremental updates on file changes
- [ ] Faster navigation performance
- [ ] Tests still pass

## TDD Cycle

♻️ **REFACTOR**","phase:navigation,tdd:refactor","Phase 7: Definition & Reference Provider"
"8.1: RED - Write tests for DiagnosticProvider","## Description

Write tests for diagnostics and linting.

## Acceptance Criteria

- [ ] Test for detecting invalid neuron configurations
- [ ] Test for detecting type mismatches
- [ ] Test for detecting circular dependencies
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**","phase:diagnostics,tdd:red","Phase 8: Diagnostic Provider"
"8.2: GREEN - Implement basic DiagnosticProvider for common errors","## Description

Implement diagnostics for common Synapse errors.

## Acceptance Criteria

- [ ] src/providers/DiagnosticProvider.ts created
- [ ] Detects invalid neuron configurations
- [ ] Detects type mismatches
- [ ] Tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**","phase:diagnostics,tdd:green,priority:high","Phase 8: Diagnostic Provider"
"8.3: REFACTOR - Add severity levels and quick fix suggestions","## Description

Enhance diagnostics with severity levels and fixes.

## Acceptance Criteria

- [ ] Error, Warning, Info severity levels
- [ ] Quick fix suggestions
- [ ] Related information links
- [ ] Tests still pass

## TDD Cycle

♻️ **REFACTOR**","phase:diagnostics,tdd:refactor","Phase 8: Diagnostic Provider"
"8.4: Add validation for Circuit topology (cycles, disconnected neurons)","## Description

Validate circuit structure and topology.

## Acceptance Criteria

- [ ] Detects circular dependencies
- [ ] Detects disconnected neurons
- [ ] Validates connection types
- [ ] Provides helpful error messages","phase:diagnostics,type:enhancement","Phase 8: Diagnostic Provider"
"8.5: Add diagnostics for incorrect Connection types","## Description

Validate connection type safety.

## Acceptance Criteria

- [ ] Detects type mismatches in connections
- [ ] Validates source and target types
- [ ] Suggests correct types
- [ ] Integration with TypeScript diagnostics","phase:diagnostics,type:enhancement","Phase 8: Diagnostic Provider"
"8.6: Implement performance warnings for large circuits","## Description

Warn about potential performance issues.

## Acceptance Criteria

- [ ] Warns about very large circuits
- [ ] Warns about deeply nested connections
- [ ] Suggests optimization strategies
- [ ] Configurable thresholds","phase:diagnostics,type:enhancement","Phase 8: Diagnostic Provider"
"8.7: Add validation for Glial cell configuration","## Description

Validate glial cell settings and parameters.

## Acceptance Criteria

- [ ] Validates cache sizes for Astrocyte
- [ ] Validates pool sizes for Oligodendrocyte
- [ ] Validates monitoring intervals for Microglia
- [ ] Validates routing rules for Ependymal","phase:diagnostics,type:enhancement","Phase 8: Diagnostic Provider"
"9.1: RED - Write tests for scaffold neuron command","## Description

Write tests for neuron scaffolding command.

## Acceptance Criteria

- [ ] Test for creating CorticalNeuron
- [ ] Test for creating ReflexNeuron
- [ ] Test for file creation
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**","phase:scaffolding,tdd:red","Phase 9: Scaffolding Commands"
"9.2: GREEN - Implement 'Synapse: Create Neuron' command","## Description

Implement command to scaffold new neurons.

## Acceptance Criteria

- [ ] Command synapse.createNeuron registered
- [ ] Quick pick for neuron type
- [ ] Generates file with template
- [ ] Tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**

## Neuron Types

- CorticalNeuron (stateful)
- ReflexNeuron (stateless)","phase:scaffolding,tdd:green,priority:high","Phase 9: Scaffolding Commands"
"9.3: REFACTOR - Add custom templates and configuration options","## Description

Enhance scaffolding with custom templates.

## Acceptance Criteria

- [ ] Support custom templates
- [ ] Configuration for default neuron type
- [ ] Template variables
- [ ] Tests still pass

## TDD Cycle

♻️ **REFACTOR**","phase:scaffolding,tdd:refactor","Phase 9: Scaffolding Commands"
"9.4: Implement 'Synapse: Create Circuit' command with topology wizard","## Description

Create command to scaffold circuits with wizard.

## Acceptance Criteria

- [ ] Command synapse.createCircuit registered
- [ ] Multi-step wizard for circuit creation
- [ ] Choose neuron types and connections
- [ ] Generates circuit file

## Wizard Steps

1. Circuit name
2. Add neurons
3. Define connections
4. Generate code","phase:scaffolding,type:enhancement,priority:high","Phase 9: Scaffolding Commands"
"9.5: Implement 'Synapse: Create Glial Cell' command","## Description

Create command to scaffold glial cells.

## Acceptance Criteria

- [ ] Command synapse.createGlialCell registered
- [ ] Quick pick for glial cell type
- [ ] Generates configuration
- [ ] Includes documentation

## Glial Types

- Astrocyte
- Oligodendrocyte
- Microglia
- Ependymal","phase:scaffolding,type:enhancement","Phase 9: Scaffolding Commands"
"9.6: Add 'Synapse: Add Connection' command for existing circuits","## Description

Command to add connections to existing circuits.

## Acceptance Criteria

- [ ] Command synapse.addConnection registered
- [ ] Pick source neuron
- [ ] Pick target neuron
- [ ] Set connection properties
- [ ] Updates circuit file","phase:scaffolding,type:enhancement","Phase 9: Scaffolding Commands"
"9.7: Create 'Synapse: Initialize Project' command for new projects","## Description

Command to initialize new Synapse project.

## Acceptance Criteria

- [ ] Command synapse.initProject registered
- [ ] Creates project structure
- [ ] Installs dependencies
- [ ] Creates sample files

## Project Structure

- src/neurons/
- src/circuits/
- src/glial/
- tsconfig.json
- package.json","phase:scaffolding,type:enhancement,priority:high","Phase 9: Scaffolding Commands"
"9.8: Add file templates for test files alongside scaffolded code","## Description

Generate test files with scaffolded code.

## Acceptance Criteria

- [ ] Option to generate test file
- [ ] Test template matches code
- [ ] Includes basic test cases
- [ ] Jest/Mocha compatible","phase:scaffolding,type:enhancement","Phase 9: Scaffolding Commands"
"9.9: Implement multi-neuron scaffolding for common patterns","## Description

Scaffold common multi-neuron patterns.

## Acceptance Criteria

- [ ] Request-Response pattern
- [ ] Pipeline pattern
- [ ] Fan-out/Fan-in pattern
- [ ] Event-driven pattern

## Patterns

Pre-built templates for common architectures","phase:scaffolding,type:enhancement","Phase 9: Scaffolding Commands"
"10.1: RED - Write tests for circuit parser and graph builder","## Description

Write tests for parsing circuits into graph data.

## Acceptance Criteria

- [ ] Test for parsing circuit definitions
- [ ] Test for building graph structure
- [ ] Test for detecting nodes and edges
- [ ] Tests fail (RED)

## TDD Cycle

🔴 **RED**","phase:visualization,tdd:red","Phase 10: Circuit Visualization"
"10.2: GREEN - Implement CircuitParser to extract topology","## Description

Parse circuit code into graph data structure.

## Acceptance Criteria

- [ ] src/utils/CircuitParser.ts created
- [ ] Extracts neurons from circuit
- [ ] Extracts connections
- [ ] Tests pass (GREEN)

## TDD Cycle

🟢 **GREEN**","phase:visualization,tdd:green","Phase 10: Circuit Visualization"
"10.3: REFACTOR - Add caching and incremental parsing","## Description

Optimize parser with caching.

## Acceptance Criteria

- [ ] Cache parsed results
- [ ] Incremental updates
- [ ] Performance improvements
- [ ] Tests still pass

## TDD Cycle

♻️ **REFACTOR**","phase:visualization,tdd:refactor","Phase 10: Circuit Visualization"
"10.4: Create webview panel for circuit visualization","## Description

Create VSCode webview for displaying circuits.

## Acceptance Criteria

- [ ] Webview panel created
- [ ] Command to open visualization
- [ ] HTML/CSS for graph display
- [ ] Communication with extension","phase:visualization,type:enhancement,priority:high","Phase 10: Circuit Visualization"
"10.5: Integrate vis-network or D3.js for interactive graph rendering","## Description

Use graph library for rendering circuits.

## Acceptance Criteria

- [ ] Library integrated (vis-network or D3.js)
- [ ] Renders neurons as nodes
- [ ] Renders connections as edges
- [ ] Interactive (pan, zoom, click)

## Recommendation

vis-network is easier for network graphs","phase:visualization,type:enhancement,priority:high","Phase 10: Circuit Visualization"
"10.6: Add color coding for neuron types (Cortical, Reflex, Glial)","## Description

Visual distinction for different neuron types.

## Acceptance Criteria

- [ ] Different colors for neuron types
- [ ] Legend explaining colors
- [ ] Icons for glial cells
- [ ] Customizable color scheme","phase:visualization,type:enhancement","Phase 10: Circuit Visualization"
"10.7: Implement click-to-navigate from visualization to code","## Description

Navigate to code from visualization.

## Acceptance Criteria

- [ ] Click neuron to jump to definition
- [ ] Click connection to see code
- [ ] Hover shows tooltip
- [ ] Bidirectional navigation","phase:visualization,type:enhancement","Phase 10: Circuit Visualization"
"10.8: Add export visualization as PNG/SVG feature","## Description

Export circuit visualization as image.

## Acceptance Criteria

- [ ] Export to PNG
- [ ] Export to SVG
- [ ] High resolution output
- [ ] Save to workspace","phase:visualization,type:enhancement","Phase 10: Circuit Visualization"
